,M1,meanK1,stdK1,meanI1,stdI1,M2,meanK2,stdK2,meanI2,stdI2
47,5796,5908.856705830098,24.038058251908115,0.02194496204278813,0.0036415643627498795,1813,1906.249044403749,5.338545966956453,0.057579150579150584,0.0045459326052632995
48,5775,5908.770671488256,24.475143089138303,0.021943722943722942,0.003784887591891499,1826,1906.3645870160462,5.85015127459668,0.057523548740416215,0.004800084896747061
49,5779,5908.872930138621,24.619003437495255,0.021960027686450945,0.0038231900292721006,1805,1906.3862042715189,5.83656377639999,0.05743434903047092,0.005268062075058433
50,5750,5909.164867564347,26.255554054804346,0.022006260869565218,0.004091614243277742,1822,1906.4693840940129,6.125924315672538,0.05747639956092206,0.00523025484300197
51,5791,5909.631627848781,27.879997742567195,0.02207787946814022,0.004365824973129932,1827,1906.492723167227,6.221465149360837,0.057427476737821566,0.005300351342368992
52,5782,5910.17615882212,29.145136905543424,0.022157039086821168,0.004531948677438845,1815,1906.6596543111673,7.304084436257577,0.05720661157024794,0.006162872110203475
53,5789,5910.5737306002475,31.554142988955203,0.022211953705303163,0.004878250476669828,1820,1906.7739400598177,7.426868850905823,0.05718626373626374,0.006235433011843949
54,5786,5910.979556610235,36.08620955021012,0.02226546837193225,0.005454046899803581,1823,1906.9866403147134,7.810106648403726,0.05708118486012068,0.006611535035208573
55,5771,5911.380389201506,37.23562214692096,0.022326286605440997,0.005645976809072839,1822,1907.2659865848507,8.62811154980807,0.05694676180021954,0.00702860851581985
56,5767,5911.851815565267,38.19735223946257,0.02239084445985781,0.005783242692781825,1826,1907.356074235279,8.990510144163254,0.05672617743702081,0.0077106966697847975
57,5785,5913.035096685673,44.66596208663802,0.022554710458081245,0.0067066436340929465,1818,1907.941910601761,10.409394289125208,0.056405390539053905,0.008555243998560953
58,5768,5914.050119863771,50.456060106564,0.022701976421636617,0.007571504095090496,1827,1908.5271904591234,11.739799666369573,0.056084291187739464,0.009254732046677448
59,5795,5915.574733427072,56.70118474183355,0.02292683347713546,0.008502948557547544,1831,1908.9980633268092,12.719579182772886,0.05575805570726379,0.009948496294050776
60,5787,5916.54569847449,60.708935738739285,0.023075341282184206,0.009103460625954133,1828,1909.838383481874,14.071520766396223,0.05509737417943107,0.011191096904045749
